"pcp-dstat 5.0.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ip-10-0-77-13",,,,"User:","ubuntu"
"Cmdline:","dstat --epoch -m --all -l --noheaders --nocolor --output hazelcast-simulator/workers/a8bf898368b726e7a82ddcacd0d2e25d725a6320/A5_dstat.csv 5",,,,"Date:","08 Sep 2023 13:33:56 UTC"
"epoch","memory usage",,,,"total usage",,,,,"dsk/total",,"net/total",,"paging",,"system",,"load avg",,
"epoch","used","free","buf","cach","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","dsk/total:read","dsk/total:writ","net/total:recv","net/total:send","in","out","int","csw","1m","5m","15m"
1694180036,386956,30510824,28924,1064128,,,,,,,,0.070,0.020,0
1694180041,390972,30539768,28924,1031708,0.662,0.212,99.072,0,0,0,168.625,119208.423,6742.588,0,0,4201,3593,0.070,0.020,0
1694180046,392624,30534500,28924,1035324,0.013,0.013,99.927,0,0,0,0,779386.403,19352.298,0,0,5619,3750,0.060,0.020,0
1694180051,392556,30530216,28924,1039676,0.025,0.038,99.913,0,0,0,0,932379.835,22388.921,0,0,6817,4671,0.060,0.010,0
1694180056,389072,30526484,28924,1046752,0.050,0.025,99.862,0,0,0,0,1510099.417,37005.897,0,0,11432,7952,0.050,0.010,0
1694180061,391636,30521936,28936,1048676,0.337,0.112,99.474,0.037,0,0,967.995,420499.045,11257.737,0,0,5040,3919,0.050,0.010,0
1694180066,391608,30516708,28936,1053800,0.050,0.088,99.875,0.038,0,0,2653.601,1098673.620,25513.805,0,0,6990,5608,0.040,0.010,0
1694180071,391512,30509904,28936,1060528,0.038,0.025,99.876,0,0,0,0,1434838.514,31795.086,0,0,7275,6527,0.040,0.010,0
1694180076,389704,30507832,28936,1064316,0.262,0.175,99.499,0,0.037,0,0,781241.213,18906.626,0,0,6942,5322,0.040,0.010,0
1694180081,389704,30507832,28936,1064316,0,0.013,100.001,0,0,0,0,69.601,57.601,0,0,291,474,0.030,0.010,0
1694180086,389704,30507832,28936,1064316,0.012,0,99.987,0,0,0,0,64.200,77.400,0,0,344,571,0.030,0.010,0
1694180091,384972,30512556,28936,1064324,0.050,0,99.936,0,0,0,0,359.994,363.794,0,0,430,740,0.030,0.010,0
1694180096,384964,30512556,28944,1064324,0.025,0,99.963,0,0.013,0,3044.021,0,0,0,0,474,668,0.020,0.010,0
