"pcp-dstat 5.0.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ip-10-0-77-27",,,,"User:","ubuntu"
"Cmdline:","dstat --epoch -m --all -l --noheaders --nocolor --output hazelcast-simulator/workers/62a5bedb95453f686dbd816ccdd93a5ed5ffb25e/A2_dstat.csv 5",,,,"Date:","08 Sep 2023 13:39:13 UTC"
"epoch","memory usage",,,,"total usage",,,,,"dsk/total",,"net/total",,"paging",,"system",,"load avg",,
"epoch","used","free","buf","cach","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","dsk/total:read","dsk/total:writ","net/total:recv","net/total:send","in","out","int","csw","1m","5m","15m"
1694180353,372896,30524364,28784,1063612,,,,,,,,0.230,0.610,0.600
1694180358,378780,30550712,28784,1031876,0.674,0.212,99.098,0,0,0,0,219090.786,7817.535,0,0,4580,3520,0.210,0.600,0.600
1694180363,379104,30546384,28784,1035880,0.050,0.025,99.901,0,0,0,180.801,850623.734,20881.321,0,0,6763,4736,0.200,0.590,0.590
1694180368,379324,30539612,28796,1042420,0.025,0.075,99.837,0,0,0,29.600,1438124.535,35179.066,0,0,11085,7568,0.180,0.580,0.590
1694180373,378544,30530912,28796,1051644,0.400,0.200,99.424,0,0,0,3949.570,1935948.687,49441.224,0,0,14262,9742,0.160,0.570,0.580
1694180378,379824,30517676,28796,1063300,0.338,0.238,99.325,0,0,0,0,2567034.107,61734.299,0,0,18367,11900,0.150,0.560,0.580
1694180383,376712,30520416,28796,1063652,0.025,0,99.950,0,0.013,0,0,4979.014,361.801,0,0,744,928,0.140,0.550,0.580
1694180388,376712,30520416,28796,1063652,0.013,0,100.002,0,0,0,0,0,0,0,0,283,486,0.130,0.550,0.570
1694180393,1044372,29852636,28796,1063772,5.250,0.637,94.036,0,0,0,0,5588.703,3727.535,0,0,26117,43894,0.360,0.590,0.590
1694180398,1047680,29849328,28796,1063772,0.113,0.038,99.888,0,0,0,0,771.801,1060.801,0,0,1562,2501,0.330,0.580,0.580
1694180403,1066180,29830804,28804,1063788,0.875,0.087,98.962,0,0,0,22.400,148680.435,37155.859,0,0,12492,17265,0.300,0.570,0.580
1694180408,1075504,29821460,28808,1063804,0.375,0.075,99.613,0.013,0,0,2629.601,10443.004,9555.404,0,0,2778,3989,0.280,0.560,0.580
1694180413,3074552,27822412,28808,1063804,12.868,3.502,83.689,0.013,0,0,209.697,30334751.253,369767500.604,0,0,624301,428068,0.500,0.600,0.590
1694180418,5876216,25020748,28808,1063804,7.238,3.988,88.566,0,0.013,0,15.201,31875513.823,409920942.458,0,0,669491,461600,0.540,0.600,0.590
1694180423,12828936,18068020,28808,1063812,6.587,6.375,86.861,0,0,0,0,33822846.414,355241302.677,0,0,681041,475277,0.570,0.610,0.600
1694180428,15981580,14915340,28808,1063848,6.575,4.225,88.962,0,0,0,16.000,32609504.459,436318551.299,0,0,711418,478874,0.610,0.620,0.600
1694180433,16224216,14672700,28820,1063848,8.238,2.825,88.563,0.025,0,0,25.600,44649667.457,500335350.017,0,0,831153,586578,0.720,0.640,0.610
1694180438,16619804,14277112,28820,1063848,8.037,2.987,89.012,0,0.012,0,4.000,36368165.422,481383830.972,0,0,767455,519962,0.740,0.650,0.610
