epoch,timestamp,operations,operations-delta,operations/second
1694180409.492,08/09/2023 13:40:09,14923,14923,14923
1694180410.492,08/09/2023 13:40:10,31826,16903,16903
1694180411.492,08/09/2023 13:40:11,41669,9843,9843
1694180412.493,08/09/2023 13:40:12,49704,8035,8026.973
1694180413.493,08/09/2023 13:40:13,66677,16973,16973
1694180414.493,08/09/2023 13:40:14,79828,13151,13151
1694180415.493,08/09/2023 13:40:15,93674,13846,13846
1694180416.493,08/09/2023 13:40:16,108360,14686,14686
1694180417.493,08/09/2023 13:40:17,117195,8835,8835
1694180418.493,08/09/2023 13:40:18,128365,11170,11170
1694180419.493,08/09/2023 13:40:19,143518,15153,15153
1694180420.493,08/09/2023 13:40:20,154424,10906,10906
1694180421.493,08/09/2023 13:40:21,168105,13681,13681
1694180422.493,08/09/2023 13:40:22,184303,16198,16198
1694180423.493,08/09/2023 13:40:23,196700,12397,12397
1694180424.493,08/09/2023 13:40:24,209681,12981,12981
1694180425.493,08/09/2023 13:40:25,224989,15308,15308
1694180426.493,08/09/2023 13:40:26,240014,15025,15025
1694180427.494,08/09/2023 13:40:27,249930,9916,9906.094
1694180428.494,08/09/2023 13:40:28,260000,10070,10070
1694180429.494,08/09/2023 13:40:29,296115,36115,36115
1694180430.494,08/09/2023 13:40:30,316132,20017,20017
1694180431.494,08/09/2023 13:40:31,332457,16325,16325
1694180432.494,08/09/2023 13:40:32,342641,10184,10184
1694180433.494,08/09/2023 13:40:33,350445,7804,7804
1694180434.494,08/09/2023 13:40:34,386665,36220,36220
1694180435.494,08/09/2023 13:40:35,400431,13766,13766
1694180436.494,08/09/2023 13:40:36,409106,8675,8675
1694180437.494,08/09/2023 13:40:37,416269,7163,7163
1694180438.494,08/09/2023 13:40:38,436414,20145,20145
1694180439.494,08/09/2023 13:40:39,460268,23854,23854
1694180440.494,08/09/2023 13:40:40,471786,11518,11518
1694180441.495,08/09/2023 13:40:41,479730,7944,7936.064
1694180442.495,08/09/2023 13:40:42,485951,6221,6221
1694180443.495,08/09/2023 13:40:43,499056,13105,13105
1694180444.495,08/09/2023 13:40:44,527988,28932,28932
1694180445.495,08/09/2023 13:40:45,557943,29955,29955
1694180446.495,08/09/2023 13:40:46,572829,14886,14886
1694180447.495,08/09/2023 13:40:47,582296,9467,9467
1694180448.495,08/09/2023 13:40:48,589558,7262,7262
1694180449.495,08/09/2023 13:40:49,623060,33502,33502
1694180450.495,08/09/2023 13:40:50,638217,15157,15157
1694180451.495,08/09/2023 13:40:51,647551,9334,9334
1694180452.495,08/09/2023 13:40:52,654470,6919,6919
1694180453.495,08/09/2023 13:40:53,659943,5473,5473
1694180454.495,08/09/2023 13:40:54,698696,38753,38753
1694180455.495,08/09/2023 13:40:55,714378,15682,15682
1694180456.496,08/09/2023 13:40:56,724040,9662,9652.348
1694180457.496,08/09/2023 13:40:57,737139,13099,13099
1694180458.496,08/09/2023 13:40:58,766993,29854,29854
1694180459.496,08/09/2023 13:40:59,782227,15234,15234
1694180460.496,08/09/2023 13:41:00,791672,9445,9445
1694180461.496,08/09/2023 13:41:01,798984,7312,7312
1694180462.496,08/09/2023 13:41:02,830322,31338,31338
1694180463.496,08/09/2023 13:41:03,856635,26313,26313
1694180464.496,08/09/2023 13:41:04,871390,14755,14755
1694180465.496,08/09/2023 13:41:05,880397,9007,9007
1694180466.496,08/09/2023 13:41:06,886816,6419,6419
1694180467.496,08/09/2023 13:41:07,907875,21059,21059
1694180468.496,08/09/2023 13:41:08,930654,22779,22779
1694180469.496,08/09/2023 13:41:09,942124,11470,11470
1694180470.496,08/09/2023 13:41:10,949894,7770,7770
1694180471.497,08/09/2023 13:41:11,956405,6511,6504.496
1694180472.497,08/09/2023 13:41:12,975267,18862,18862
1694180473.497,08/09/2023 13:41:13,1006081,30814,30814
1694180474.497,08/09/2023 13:41:14,1018860,12779,12779
1694180475.497,08/09/2023 13:41:15,1027416,8556,8556
1694180476.497,08/09/2023 13:41:16,1033789,6373,6373
1694180477.497,08/09/2023 13:41:17,1038957,5168,5168
1694180478.497,08/09/2023 13:41:18,1068655,29698,29698
1694180479.497,08/09/2023 13:41:19,1089199,20544,20544
1694180480.497,08/09/2023 13:41:20,1100447,11248,11248
1694180481.497,08/09/2023 13:41:21,1108290,7843,7843
1694180482.497,08/09/2023 13:41:22,1139364,31074,31074
1694180483.497,08/09/2023 13:41:23,1157245,17881,17881
1694180484.497,08/09/2023 13:41:24,1167447,10202,10202
1694180485.498,08/09/2023 13:41:25,1174800,7353,7345.654
1694180486.498,08/09/2023 13:41:26,1183137,8337,8337
1694180487.498,08/09/2023 13:41:27,1217351,34214,34214
1694180488.498,08/09/2023 13:41:28,1231223,13872,13872
1694180489.498,08/09/2023 13:41:29,1239875,8652,8652
1694180490.498,08/09/2023 13:41:30,1246609,6734,6734
1694180491.498,08/09/2023 13:41:31,1268276,21667,21667
1694180492.498,08/09/2023 13:41:32,1294237,25961,25961
1694180493.498,08/09/2023 13:41:33,1306466,12229,12229
1694180494.498,08/09/2023 13:41:34,1314888,8422,8422
1694180495.498,08/09/2023 13:41:35,1329554,14666,14666
1694180496.498,08/09/2023 13:41:36,1358017,28463,28463
1694180497.498,08/09/2023 13:41:37,1371390,13373,13373
1694180498.498,08/09/2023 13:41:38,1380774,9384,9384
1694180499.499,08/09/2023 13:41:39,1387738,6964,6957.043
1694180500.499,08/09/2023 13:41:40,1413988,26250,26250
1694180501.499,08/09/2023 13:41:41,1433909,19921,19921
1694180502.499,08/09/2023 13:41:42,1444601,10692,10692
1694180503.499,08/09/2023 13:41:43,1452130,7529,7529
1694180504.499,08/09/2023 13:41:44,1458040,5910,5910
1694180505.499,08/09/2023 13:41:45,1484643,26603,26603
1694180506.499,08/09/2023 13:41:46,1502165,17522,17522
1694180507.499,08/09/2023 13:41:47,1512123,9958,9958
1694180508.499,08/09/2023 13:41:48,1519465,7342,7342
1694180509.499,08/09/2023 13:41:49,1561370,41905,41905
1694180510.499,08/09/2023 13:41:50,1580174,18804,18804
1694180511.499,08/09/2023 13:41:51,1590458,10284,10284
1694180512.499,08/09/2023 13:41:52,1597587,7129,7129
1694180513.5,08/09/2023 13:41:53,1624879,27292,27264.735
1694180514.5,08/09/2023 13:41:54,1645527,20648,20648
1694180515.5,08/09/2023 13:41:55,1656234,10707,10707
1694180516.5,08/09/2023 13:41:56,1664229,7995,7995
1694180517.5,08/09/2023 13:41:57,1670616,6387,6387
1694180518.5,08/09/2023 13:41:58,1712829,42213,42213
1694180519.5,08/09/2023 13:41:59,1728576,15747,15747
1694180520.5,08/09/2023 13:42:00,1738187,9611,9611
1694180521.5,08/09/2023 13:42:01,1745391,7204,7204
1694180522.5,08/09/2023 13:42:02,1756768,11377,11377
1694180523.5,08/09/2023 13:42:03,1785424,28656,28656
1694180524.5,08/09/2023 13:42:04,1797614,12190,12190
1694180525.5,08/09/2023 13:42:05,1805824,8210,8210
1694180526.5,08/09/2023 13:42:06,1825882,20058,20058
1694180527.5,08/09/2023 13:42:07,1851303,25421,25421
