epoch,timestamp,operations,operations-delta,operations/second
1694180724.036,08/09/2023 13:45:24,8975,8975,8975
1694180725.036,08/09/2023 13:45:25,16170,7195,7195
1694180726.036,08/09/2023 13:45:26,21334,5164,5164
1694180727.036,08/09/2023 13:45:27,25112,3778,3778
1694180728.037,08/09/2023 13:45:28,31255,6143,6136.863
1694180729.037,08/09/2023 13:45:29,47787,16532,16532
1694180730.037,08/09/2023 13:45:30,55914,8127,8127
1694180731.037,08/09/2023 13:45:31,60921,5007,5007
1694180732.037,08/09/2023 13:45:32,65395,4474,4474
1694180733.037,08/09/2023 13:45:33,70392,4997,4997
1694180734.037,08/09/2023 13:45:34,74955,4563,4563
1694180735.037,08/09/2023 13:45:35,79743,4788,4788
1694180736.037,08/09/2023 13:45:36,86538,6795,6795
1694180737.037,08/09/2023 13:45:37,93537,6999,6999
1694180738.037,08/09/2023 13:45:38,98238,4701,4701
1694180739.037,08/09/2023 13:45:39,117804,19566,19566
1694180740.037,08/09/2023 13:45:40,125848,8044,8044
1694180741.037,08/09/2023 13:45:41,139073,13225,13225
1694180742.037,08/09/2023 13:45:42,151934,12861,12861
1694180743.038,08/09/2023 13:45:43,156784,4850,4845.155
1694180744.038,08/09/2023 13:45:44,162724,5940,5940
1694180745.038,08/09/2023 13:45:45,168981,6257,6257
1694180746.038,08/09/2023 13:45:46,173195,4214,4214
1694180747.038,08/09/2023 13:45:47,176353,3158,3158
1694180748.038,08/09/2023 13:45:48,179174,2821,2821
1694180749.038,08/09/2023 13:45:49,198426,19252,19252
1694180750.038,08/09/2023 13:45:50,205830,7404,7404
1694180751.038,08/09/2023 13:45:51,210475,4645,4645
1694180752.038,08/09/2023 13:45:52,213696,3221,3221
1694180753.038,08/09/2023 13:45:53,216527,2831,2831
1694180754.038,08/09/2023 13:45:54,219241,2714,2714
1694180755.038,08/09/2023 13:45:55,239951,20710,20710
1694180756.038,08/09/2023 13:45:56,247555,7604,7604
1694180757.039,08/09/2023 13:45:57,267564,20009,19989.011
1694180758.039,08/09/2023 13:45:58,276293,8729,8729
1694180759.039,08/09/2023 13:45:59,281718,5425,5425
1694180760.039,08/09/2023 13:46:00,285574,3856,3856
1694180761.039,08/09/2023 13:46:01,288670,3096,3096
1694180762.039,08/09/2023 13:46:02,315707,27037,27037
1694180763.039,08/09/2023 13:46:03,326260,10553,10553
1694180764.039,08/09/2023 13:46:04,331899,5639,5639
1694180765.039,08/09/2023 13:46:05,335844,3945,3945
1694180766.039,08/09/2023 13:46:06,338806,2962,2962
1694180767.039,08/09/2023 13:46:07,358673,19867,19867
1694180768.039,08/09/2023 13:46:08,366351,7678,7678
1694180769.039,08/09/2023 13:46:09,382656,16305,16305
1694180770.039,08/09/2023 13:46:10,393015,10359,10359
1694180771.039,08/09/2023 13:46:11,398808,5793,5793
1694180772.04,08/09/2023 13:46:12,419311,20503,20482.517
1694180773.04,08/09/2023 13:46:13,426916,7605,7605
1694180774.04,08/09/2023 13:46:14,431738,4822,4822
1694180775.04,08/09/2023 13:46:15,435313,3575,3575
1694180776.04,08/09/2023 13:46:16,438229,2916,2916
1694180777.04,08/09/2023 13:46:17,458461,20232,20232
1694180778.04,08/09/2023 13:46:18,468120,9659,9659
1694180779.04,08/09/2023 13:46:19,473566,5446,5446
1694180780.04,08/09/2023 13:46:20,477360,3794,3794
1694180781.04,08/09/2023 13:46:21,492280,14920,14920
1694180782.04,08/09/2023 13:46:22,503468,11188,11188
1694180783.04,08/09/2023 13:46:23,510095,6627,6627
1694180784.04,08/09/2023 13:46:24,514539,4444,4444
1694180785.04,08/09/2023 13:46:25,517863,3324,3324
1694180786.041,08/09/2023 13:46:26,536024,18161,18142.857
1694180787.041,08/09/2023 13:46:27,545851,9827,9827
1694180788.041,08/09/2023 13:46:28,551327,5476,5476
1694180789.041,08/09/2023 13:46:29,555199,3872,3872
1694180790.041,08/09/2023 13:46:30,558306,3107,3107
1694180791.041,08/09/2023 13:46:31,576742,18436,18436
