"pcp-dstat 5.0.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ip-10-0-77-231",,,,"User:","ubuntu"
"Cmdline:","dstat --epoch -m --all -l --noheaders --nocolor --output hazelcast-simulator/workers/006d803341a234a38621ab612e77220c1a0e03ac/A6_dstat.csv 5",,,,"Date:","08 Sep 2023 13:44:27 UTC"
"epoch","memory usage",,,,"total usage",,,,,"dsk/total",,"net/total",,"paging",,"system",,"load avg",,
"epoch","used","free","buf","cach","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","dsk/total:read","dsk/total:writ","net/total:recv","net/total:send","in","out","int","csw","1m","5m","15m"
1694180667,384220,30515480,29016,1063068,,,,,,,,0,0,0
1694180672,388104,30544032,29016,1031188,0.699,0.275,99.023,0,0,0,162.233,135603.474,6412.592,0,0,4786,3983,0,0,0
1694180677,388472,30539244,29016,1035608,0.013,0.013,99.889,0,0,0,7.200,1004784.850,24485.455,0,0,7223,4815,0,0,0
1694180682,388332,30534204,29028,1040776,0.038,0.038,99.900,0.013,0,0,49.600,1112058.448,27118.908,0,0,8258,5551,0,0,0
1694180687,388100,30529448,29028,1045696,0.375,0.100,99.424,0,0.012,0,8.800,989105.550,25563.247,0,0,8214,6484,0,0,0
1694180692,389224,30522940,29028,1050944,0.025,0.038,99.889,0,0,0,0,1137831.702,25299.549,0,0,7673,5159,0,0,0
1694180697,388976,30514132,29028,1059776,0.075,0.087,99.824,0,0.012,0,12.000,1890135.474,42555.706,0,0,13106,8794,0,0,0
1694180702,385948,30513760,29028,1063080,0.325,0.125,99.462,0,0,0,136.800,706694.621,18415.748,0,0,7221,5306,0,0,0
1694180707,385944,30513760,29028,1063084,0.038,0,99.976,0.013,0,0,3016.024,294.602,234.602,0,0,464,620,0,0,0
1694180712,385944,30513760,29036,1063076,0,0,99.989,0,0,0,17.600,25.200,25.200,0,0,327,526,0,0,0
1694180717,385944,30513760,29036,1063076,0,0.012,99.974,0.012,0,0,49.599,78.999,74.999,0,0,540,750,0,0,0
1694180722,380864,30518784,29036,1063128,0.062,0.037,99.900,0.037,0,0,3406.383,387.598,391.598,0,0,559,862,0,0,0
1694180727,380864,30518784,29036,1063128,0,0,99.989,0,0,0,5.600,0,0,0,0,325,543,0,0,0
1694180732,380864,30518784,29036,1063128,0.037,0.012,99.987,0,0.012,0,71.999,0,0,0,0,370,612,0,0,0
1694180737,380864,30518784,29036,1063128,0.037,0,99.899,0,0,0,0.800,938.193,1156.792,0,0,902,900,0,0,0
1694180742,380864,30518784,29036,1063128,0,0.013,99.975,0,0,0,8.000,0,0,0,0,326,529,0,0,0
1694180747,380900,30518736,29044,1063132,0.013,0,100.001,0,0,0,25.600,64.200,64.200,0,0,339,554,0,0,0
1694180752,380648,30518988,29044,1063132,0.013,0,100.001,0,0,0,0,0,0,0,0,300,499,0,0,0
1694180757,380328,30519304,29044,1063136,0.012,0,99.986,0,0,0,0,64.199,64.199,0,0,323,524,0,0,0
1694180762,380328,30519304,29044,1063136,0.013,0.013,99.976,0,0,0,4.000,8.400,8.400,0,0,279,454,0,0,0
1694180767,380328,30519304,29044,1063136,0.012,0,99.973,0,0,0,0,64.199,64.199,0,0,365,570,0,0,0
1694180772,380328,30519304,29044,1063136,0,0.013,99.989,0,0.025,0,42.401,0,0,0,0,374,570,0,0,0
1694180777,380532,30519052,29052,1063176,0,0,99.986,0.012,0,0,15.200,64.199,64.199,0,0,393,558,0,0,0
1694180782,380532,30519052,29052,1063176,0,0.013,100.000,0,0,0,0,0,0,0,0,259,452,0,0,0
1694180787,380528,30519052,29052,1063180,0,0.012,99.949,0,0,0,0,64.199,64.199,0,0,511,810,0,0,0
1694180792,380528,30519052,29052,1063180,0.013,0,99.977,0,0,0,5.600,0,0,0,0,283,484,0,0,0
1694180797,380492,30519084,29052,1063184,0.087,0.012,99.986,0,0,0,0,74.599,74.599,0,0,516,790,0,0,0
1694180802,380428,30519148,29052,1063184,0,0.013,99.989,0,0,0,1.600,0,0,0,0,270,465,0,0,0
1694180807,380420,30519148,29060,1063184,0,0,99.899,0.075,0,0,8.000,74.599,74.599,0,0,317,505,0,0,0
1694180812,380420,30519148,29060,1063184,0,0.013,100.001,0,0.013,0,16.000,0,0,0,0,295,486,0,0,0
1694180817,380420,30519148,29060,1063184,0.012,0,99.987,0,0,0,0,74.600,74.600,0,0,338,540,0,0,0
1694180822,380420,30519148,29060,1063184,0,0,99.988,0,0,0,2.400,8.400,8.400,0,0,267,446,0,0,0
1694180827,380420,30519148,29060,1063184,0,0.012,99.999,0,0,0,0,74.599,74.599,0,0,315,501,0,0,0
1694180832,380420,30519148,29060,1063184,0,0,99.988,0,0,0,1.600,0,0,0,0,279,488,0,0,0
1694180837,380312,30519188,29068,1063244,0.012,0.037,99.973,0,0,0,6.400,74.599,74.599,0,0,474,658,0,0,0
1694180842,380312,30519188,29068,1063244,0,0,99.989,0,0.013,0,3.200,0,0,0,0,266,448,0,0,0
1694180847,380312,30519188,29068,1063244,0,0,99.962,0,0.012,0,0,74.600,74.600,0,0,331,524,0,0,0
1694180852,380816,30518684,29068,1063244,0.075,0.050,99.961,0,0,0,2.400,352.795,338.996,0,0,477,756,0,0,0
1694180857,381112,30518376,29068,1063256,0,0.012,99.962,0,0,0,0,0,0,0,0,715,1116,0,0,0
1694180862,381104,30518384,29068,1063256,0,0.013,100.002,0,0,0,0,0,0,0,0,261,464,0,0,0
1694180867,381092,30518384,29076,1063260,0,0,100.000,0,0,0,25.600,74.600,74.600,0,0,357,532,0,0,0
1694180872,381092,30518384,29076,1063260,0.013,0,99.963,0,0,0,0,0,0,0,0,271,478,0,0,0
1694180877,381092,30518384,29076,1063260,0,0,99.987,0,0,0,3.200,83.000,83.000,0,0,342,516,0,0,0
1694180882,381092,30518384,29076,1063260,0,0,100.000,0,0.013,0,2.400,0,0,0,0,277,459,0,0,0
1694180887,381088,30518384,29076,1063264,0.025,0,99.986,0,0,0,0,74.599,74.599,0,0,352,555,0,0,0
1694180892,381088,30518384,29076,1063264,0,0.013,100.001,0,0,0,0,0,0,0,0,271,481,0,0,0
1694180897,381012,30518416,29084,1063300,0,0,99.937,0,0,0,8.800,74.600,74.600,0,0,392,582,0,0,0
1694180902,381012,30518416,29084,1063300,0,0.025,99.988,0,0,0,1.600,0,0,0,0,277,461,0,0,0
1694180907,381012,30518416,29084,1063300,0,0,99.987,0,0,0,0,74.599,74.599,0,0,346,547,0,0,0
1694180912,381012,30518416,29084,1063300,0,0,100.001,0,0,0,4.800,0,0,0,0,303,499,0,0,0
1694180917,381008,30518416,29084,1063304,0,0.062,99.961,0,0,0,0,74.599,74.599,0,0,548,819,0,0,0
1694180922,381008,30518416,29084,1063304,0,0.013,99.988,0,0.013,0,0,0,0,0,0,294,485,0,0,0
1694180927,381008,30518416,29092,1063296,0.025,0,100.001,0,0,0,24.000,74.600,74.600,0,0,388,605,0,0,0
1694180932,381232,30518180,29092,1063308,0,0,99.988,0,0,0,0,8.400,8.400,0,0,284,504,0,0,0
1694180937,381224,30518180,29092,1063316,0.012,0,99.986,0,0,0,1.600,74.599,74.599,0,0,308,493,0,0,0
1694180942,381224,30518180,29092,1063316,0,0,99.989,0,0,0,2.400,0,0,0,0,280,471,0,0,0
1694180947,381224,30518180,29092,1063316,0,0.025,99.974,0,0,0,2.400,74.599,74.599,0,0,303,492,0,0,0
1694180952,381216,30518180,29100,1063316,0,0,99.988,0,0.013,0,11.200,0,0,0,0,303,513,0,0,0
1694180957,381176,30518180,29100,1063352,0.025,0,99.987,0,0.013,0,0,74.627,74.627,0,0,401,565,0,0,0
1694180962,381176,30518180,29100,1063352,0,0.012,100.002,0,0,0,0,0,0,0,0,269,456,0,0,0
