"pcp-dstat 5.0.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ip-10-0-77-166",,,,"User:","ubuntu"
"Cmdline:","dstat --epoch -m --all -l --noheaders --nocolor --output hazelcast-simulator/workers/838be0c960259585130c6449c088d40d622d273c/A4_dstat.csv 5",,,,"Date:","08 Sep 2023 13:49:42 UTC"
"epoch","memory usage",,,,"total usage",,,,,"dsk/total",,"net/total",,"paging",,"system",,"load avg",,
"epoch","used","free","buf","cach","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","dsk/total:read","dsk/total:writ","net/total:recv","net/total:send","in","out","int","csw","1m","5m","15m"
1694180982,389732,30274596,29188,1066780,,,,,,,,0.040,0.280,0.350
1694180987,393360,30303308,29188,1034996,0.737,0.187,99.072,0.025,0.012,0,165.429,159116.051,6872.884,0,0,4682,3834,0.040,0.270,0.340
1694180992,394028,30295504,29188,1042132,0.025,0.038,99.888,0,0,0,8.800,1581557.796,36974.089,0,0,10787,7081,0.040,0.270,0.340
1694180997,393540,30290252,29200,1047860,0.025,0.013,99.875,0,0,0,40.000,1177577.507,27954.417,0,0,8311,5493,0.030,0.260,0.340
1694181002,393604,30281180,29200,1056764,0.338,0.188,99.413,0,0,0,0,1914615.549,48328.429,0,0,13910,9117,0.030,0.260,0.340
1694181007,394308,30271352,29200,1065660,0.088,0.075,99.863,0,0,0,0,1925919.378,44654.534,0,0,12441,7918,0.030,0.250,0.340
1694181012,391872,30272624,29200,1066788,0.312,0.150,99.462,0,0.012,0,12.000,219198.416,6913.963,0,0,3765,3185,0.030,0.250,0.330
1694181017,391836,30272624,29200,1066824,0,0,100.001,0,0,0,0.800,0,0,0,0,329,507,0.020,0.240,0.330
1694181022,391828,30272624,29200,1066832,0,0,99.974,0,0,0,3149.570,286.197,239.398,0,0,716,856,0.020,0.240,0.330
1694181027,391828,30272624,29200,1066832,0.013,0,99.989,0,0,0,12.000,25.200,25.200,0,0,310,484,0.020,0.230,0.330
1694181032,999944,29664384,29208,1066948,3.300,0.550,96.061,0.037,0,0,3475.157,5320.334,3710.154,0,0,19563,32879,0.100,0.250,0.330
1694181037,1506056,29158232,29208,1066988,3.600,0.350,95.875,0,0.025,0,0,2410.403,6016.607,0,0,16483,28406,0.090,0.240,0.330
1694181042,1687080,28977180,29208,1067016,3.075,0.938,95.863,0,0,0,86.400,307734.969,27252177.103,0,0,123084,160390,0.240,0.270,0.340
1694181047,1965804,28698444,29208,1067028,0.975,0.938,97.738,0,0.013,0,9.600,402954.722,36110122.288,0,0,149600,188239,0.380,0.300,0.350
1694181052,2149352,28514884,29208,1067040,0.625,0.650,98.500,0,0,0,0.800,277060.424,23317340.511,0,0,107274,135090,0.350,0.300,0.350
1694181057,2283376,28380852,29208,1067048,0.413,0.488,98.848,0,0,0,0,192980.357,16580534.244,0,0,77038,98671,0.320,0.290,0.350
1694181062,2462444,28201764,29216,1067060,0.612,0.537,98.562,0,0,0,60.000,255334.634,22271816.785,0,0,101026,128811,0.300,0.290,0.340
1694181067,2580292,28083904,29216,1067072,1.113,0.625,98.100,0,0,0,2.400,326951.915,30763682.138,0,0,120491,154284,0.270,0.280,0.340
1694181072,2593176,28071004,29216,1067088,0.975,0.887,97.937,0,0,0,17.600,436250.964,40504603.695,0,0,161562,204185,0.250,0.280,0.340
1694181077,2597476,28066660,29216,1067132,0.887,0.712,98.153,0,0.012,0,0,373758.065,35164749.980,0,0,140357,176867,0.390,0.300,0.350
1694181082,2609204,28054916,29216,1067148,0.900,0.763,98.235,0,0,0,0,370002.351,34329836.892,0,0,137297,174910,0.360,0.300,0.350
1694181087,2638148,28025952,29216,1067164,1.150,1.050,97.837,0,0,0,0,464864.890,43935208.550,0,0,168944,213569,0.330,0.290,0.340
