"pcp-dstat 5.0.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ip-10-0-77-24",,,,"User:","ubuntu"
"Cmdline:","dstat --epoch -m --all -l --noheaders --nocolor --output hazelcast-simulator/workers/76365181784a316b85ae49c7f956ed0e42ade03d/A1_dstat.csv 5",,,,"Date:","08 Sep 2023 13:54:57 UTC"
"epoch","memory usage",,,,"total usage",,,,,"dsk/total",,"net/total",,"paging",,"system",,"load avg",,
"epoch","used","free","buf","cach","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","dsk/total:read","dsk/total:writ","net/total:recv","net/total:send","in","out","int","csw","1m","5m","15m"
1694181297,371028,30525644,29204,1064440,,,,,,,,0.070,0.270,0.390
1694181302,382300,30546736,29204,1032588,0.737,0.512,98.735,0.012,0,0,162.232,143524.080,6846.106,0,0,6431,6725,0.070,0.270,0.390
1694181307,382812,30540964,29204,1037848,0.038,0.063,99.876,0,0,0,0,1198911.264,28839.615,0,0,8930,5972,0.060,0.260,0.390
1694181312,382744,30535364,29216,1043500,0.025,0,99.912,0,0,0,40.000,1140672.972,27510.794,0,0,8546,5726,0.060,0.260,0.380
1694181317,382884,30529932,29216,1048664,0.362,0.162,99.449,0,0,0,1.600,1111560.908,27407.781,0,0,9329,6499,0.050,0.250,0.380
1694181322,383148,30521364,29216,1056760,0.050,0.063,99.875,0,0,0,0,1736172.914,40826.906,0,0,11172,7292,0.050,0.250,0.380
1694181327,382364,30515608,29216,1063136,0.025,0.037,99.850,0,0.012,0,12.000,1356155.745,32812.921,0,0,9736,6690,0.040,0.240,0.380
1694181332,380372,30516200,29216,1064492,0.362,0.100,99.499,0,0,0,191.199,288815.863,8276.939,0,0,4277,3645,0.040,0.240,0.370
1694181337,1053472,29842984,29216,1064608,5.575,0.613,93.663,0.013,0.025,0,3016.006,5733.811,3858.808,0,0,31555,53987,0.040,0.230,0.370
1694181342,1043928,29852528,29224,1064600,0.062,0.012,99.887,0,0,0,22.400,568.800,963.799,0,0,1571,2558,0.030,0.230,0.370
1694181347,1061980,29834452,29224,1064624,0.963,0.138,98.850,0.013,0,0,36.000,163946.059,43680.922,0,0,13770,19188,0.030,0.230,0.370
1694181352,1074524,29821896,29224,1064636,0.237,0.037,99.687,0,0.012,0,3409.591,7489.981,7418.381,0,0,2383,3522,0.030,0.220,0.360
1694181357,2377832,28518580,29224,1064644,5.453,1.576,92.281,0,0,0,22.411,302181814.598,11236501.385,0,0,301013,195423,0.100,0.240,0.370
1694181362,2463064,28433328,29224,1064664,3.450,0.937,95.062,0.012,0.012,0,164.000,150861529.394,14627876.521,0,0,231717,172622,0.100,0.230,0.370
1694181367,2466536,28429852,29224,1064668,1.738,0.588,97.575,0,0,0,20.800,86388784.000,6963036.267,0,0,130467,97628,0.090,0.230,0.360
1694181372,2464720,28431668,29224,1064668,0.700,0.337,98.525,0,0,0,0,41676341.118,7346647.845,0,0,98702,84126,0.080,0.220,0.360
1694181377,2464580,28431800,29232,1064668,1.237,0.500,97.737,0,0,0,16.000,136973731.615,7102990.755,0,0,163933,120357,0.070,0.220,0.360
1694181382,2467136,28429244,29232,1064668,0.538,0.375,98.901,0,0.013,0,3.200,23010353.091,5710184.250,0,0,80300,65621,0.070,0.220,0.360
1694181387,2859248,28037092,29232,1064708,0.800,0.437,98.524,0,0,0,3.200,18855224.182,4819753.373,0,0,72121,56655,0.140,0.230,0.360
1694181392,2863372,28032968,29232,1064708,1.000,0.538,98.225,0,0,0,0,89220940.019,10532029.490,0,0,137260,101062,0.370,0.280,0.380
1694181397,3362904,27533428,29232,1064716,3.625,1.700,94.124,0,0.025,0,5.600,461666308.071,10122304.055,0,0,457825,296753,0.420,0.290,0.380
1694181402,5426416,25469916,29232,1064716,3.225,2.037,94.185,0,0,0,0.800,432483166.568,6379212.458,0,0,392893,264089,0.390,0.280,0.380
1694181407,5550068,25346236,29240,1064732,2.313,1.050,96.016,0,0.025,0,28.801,272416177.431,14080902.955,0,0,322169,221100,0.360,0.280,0.370
1694181412,9050380,21845924,29240,1064732,3.050,2.750,93.709,0,0,0,0,351757584.363,13139505.927,0,0,348903,233109,0.330,0.270,0.370
1694181417,10568808,20327476,29240,1064752,1.900,1.663,96.166,0,0,0,12.800,143928344.278,18886606.409,0,0,223271,164223,0.300,0.270,0.370
1694181422,10961192,19935092,29240,1064752,0.788,0.675,98.263,0,0,0,58.400,34287898.955,8401858.970,0,0,119708,89918,0.280,0.260,0.370
1694181427,11160796,19735476,29240,1064760,0.475,0.375,98.927,0,0.025,0,3.998,16968085.408,4450511.293,0,0,66771,46260,0.250,0.260,0.360
1694181432,11353028,19543244,29240,1064760,0.488,0.500,99.047,0,0,0,0,16205664.644,4300790.114,0,0,63491,42501,0.230,0.250,0.360
1694181437,12150932,18745332,29248,1064760,1.274,1.087,97.390,0,0,0,21.589,73080021.462,13489534.792,0,0,159655,119326,0.220,0.250,0.360
1694181442,12371920,18524344,29248,1064760,0.413,0.350,98.962,0,0,0,0,18870751.163,4887724.399,0,0,70293,51542,0.200,0.250,0.360
1694181447,12548484,18347724,29248,1064816,0.400,0.387,99.198,0,0,0,0,14919367.542,4007601.036,0,0,58981,39296,0.180,0.240,0.360
1694181452,13151452,17744756,29248,1064816,0.938,0.825,98.052,0,0,0,2.400,54506380.837,10903865.743,0,0,120131,85873,0.490,0.300,0.380
1694181457,13498272,17397936,29248,1064816,0.888,0.488,98.375,0,0.025,0,0,30051866.124,7555768.534,0,0,109757,82577,0.450,0.300,0.370
1694181462,13703440,17192768,29248,1064816,0.475,0.287,99.025,0,0.025,0,5.600,17404207.268,4587569.355,0,0,67698,49352,0.410,0.290,0.370
1694181467,14423832,16472364,29256,1064820,1.000,0.887,98.096,0,0,0,9.600,67447932.353,9568462.306,0,0,108675,79194,0.540,0.320,0.380
1694181472,16522268,14373920,29256,1064828,2.800,2.013,94.829,0,0,0,11.200,272119133.290,16967847.172,0,0,297337,222036,0.500,0.320,0.380
1694181477,16522548,14373636,29256,1064832,0.187,0.112,99.653,0,0,0,0,6253598.496,1556572.407,0,0,24642,20919,0.460,0.310,0.370
1694181482,16522332,14373848,29256,1064836,0.050,0,99.922,0,0,0,18.409,2192.828,1023.680,0,0,1455,2278,0.420,0.310,0.370
1694181487,16524516,14371660,29256,1064840,0.325,0.025,99.616,0,0,0,0,55001.358,35528.836,0,0,6155,8530,0.390,0.300,0.370
1694181492,386200,30509992,29256,1064824,0.100,0.587,99.249,0,0,0,0,8146.540,9411.930,0,0,4757,3191,0.350,0.300,0.370
1694181497,385904,30510276,29264,1064828,0.013,0,100.001,0,0,0,11.200,621.607,453.605,0,0,410,548,0.330,0.290,0.370
1694181502,385904,30510276,29264,1064828,0,0,99.989,0,0,0,3.200,0,0,0,0,287,477,0.300,0.290,0.360
1694181507,385896,30510244,29264,1064868,0,0.012,99.973,0,0.012,0,5.600,64.199,64.199,0,0,390,575,0.280,0.280,0.360
1694181512,386116,30510024,29264,1064868,0,0.013,99.988,0,0,0,3.200,0,0,0,0,305,493,0.250,0.280,0.360
1694181517,386116,30510024,29264,1064868,0.013,0,100.001,0,0.025,0,2.400,64.200,64.200,0,0,341,559,0.230,0.270,0.360
1694181522,386116,30510024,29264,1064868,0,0.012,100.000,0,0,0,0,0,0,0,0,306,509,0.210,0.270,0.350
1694181527,386108,30510024,29272,1064868,0.025,0,99.986,0,0,0,8.800,64.199,64.199,0,0,387,571,0.200,0.260,0.350
1694181532,386204,30509928,29272,1064868,0,0.012,99.987,0,0,0,9.600,0,0,0,0,766,1232,0.180,0.260,0.350
1694181537,386196,30509928,29272,1064876,0,0.013,99.963,0,0,0,10.400,83.001,83.001,0,0,481,711,0.170,0.250,0.350
1694181542,386196,30509928,29272,1064876,0.013,0,99.988,0,0.013,0,3.200,0,0,0,0,358,531,0.150,0.250,0.350
1694181547,386196,30509928,29272,1064876,0,0,99.974,0,0,0,1.600,74.599,74.599,0,0,349,579,0.140,0.240,0.350
1694181552,386196,30509928,29272,1064876,0,0,99.987,0,0,0,0,0,0,0,0,326,527,0.140,0.240,0.350
1694181557,386188,30509928,29280,1064876,0.025,0.013,99.976,0,0,0,8.000,74.601,74.601,0,0,347,571,0.130,0.240,0.340
1694181562,386188,30509928,29280,1064876,0,0,99.988,0,0,0,0,0,0,0,0,284,453,0.120,0.230,0.340
1694181567,386392,30509676,29280,1064920,0,0,99.986,0,0,0,2.400,74.599,74.599,0,0,372,547,0.110,0.230,0.340
1694181572,386392,30509676,29280,1064920,0.025,0,100.001,0,0,0,2.400,0,0,0,0,270,453,0.100,0.230,0.340
1694181577,386360,30509708,29280,1064920,0,0,99.999,0,0.050,0,2.400,64.199,64.199,0,0,348,577,0.090,0.220,0.340
1694181582,386352,30509708,29288,1064920,0,0,100.000,0.013,0,0,11.200,0,0,0,0,311,508,0.080,0.220,0.330
1694181587,389376,30506684,29288,1064920,0.012,0,99.950,0,0,0,7.200,76.200,75.000,0,0,347,510,0.080,0.210,0.330
1694181592,386628,30509432,29288,1064920,0.012,0.012,100.000,0,0,0,0,8.400,8.400,0,0,386,647,0.070,0.210,0.330
